100 1f4af
flag_tv 1f1f9-1f1fb
flag_ug 1f1fa-1f1ec
flag_ua 1f1fa-1f1e6
flag_ae 1f1e6-1f1ea
flag_gb 1f1ec-1f1e7
flag_us 1f1fa-1f1f8
flag_vi 1f1fb-1f1ee
flag_uy 1f1fa-1f1fe
flag_uz 1f1fa-1f1ff
flag_vu 1f1fb-1f1fa
flag_va 1f1fb-1f1e6
flag_ve 1f1fb-1f1ea
flag_vn 1f1fb-1f1f3
flag_wf 1f1fc-1f1eb
flag_eh 1f1ea-1f1ed
flag_ye 1f1fe-1f1ea
flag_zm 1f1ff-1f1f2
flag_zw 1f1ff-1f1fc
flag_re 1f1f7-1f1ea
flag_ax 1f1e6-1f1fd
flag_ta 1f1f9-1f1e6
flag_io 1f1ee-1f1f4
flag_bq 1f1e7-1f1f6
flag_cx 1f1e8-1f1fd
flag_cc 1f1e8-1f1e8
flag_gg 1f1ec-1f1ec
flag_im 1f1ee-1f1f2
flag_yt 1f1fe-1f1f9
flag_nf 1f1f3-1f1eb
flag_pn 1f1f5-1f1f3
flag_bl 1f1e7-1f1f1
flag_pm 1f1f5-1f1f2
flag_gs 1f1ec-1f1f8
flag_tk 1f1f9-1f1f0
flag_bv 1f1e7-1f1fb
flag_hm 1f1ed-1f1f2
flag_sj 1f1f8-1f1ef
flag_um 1f1fa-1f1f2
flag_ic 1f1ee-1f1e8
flag_ea 1f1ea-1f1e6
flag_cp 1f1e8-1f1f5
flag_dg 1f1e9-1f1ec
flag_as 1f1e6-1f1f8
flag_aq 1f1e6-1f1f6
flag_vg 1f1fb-1f1ec
flag_ck 1f1e8-1f1f0
flag_cw 1f1e8-1f1fc
flag_eu 1f1ea-1f1fa
flag_gf 1f1ec-1f1eb
flag_tf 1f1f9-1f1eb
flag_gp 1f1ec-1f1f5
flag_mq 1f1f2-1f1f6
flag_mp 1f1f2-1f1f5
flag_sx 1f1f8-1f1fd
flag_ss 1f1f8-1f1f8
flag_tc 1f1f9-1f1e8
flag_mf 1f1f2-1f1eb
raised_hands_tone1 1f64c-1f3fb
raised_hands_tone2 1f64c-1f3fc
raised_hands_tone3 1f64c-1f3fd
raised_hands_tone4 1f64c-1f3fe
raised_hands_tone5 1f64c-1f3ff
clap_tone1 1f44f-1f3fb
clap_tone2 1f44f-1f3fc
clap_tone3 1f44f-1f3fd
clap_tone4 1f44f-1f3fe
clap_tone5 1f44f-1f3ff
wave_tone1 1f44b-1f3fb
wave_tone2 1f44b-1f3fc
wave_tone3 1f44b-1f3fd
wave_tone4 1f44b-1f3fe
wave_tone5 1f44b-1f3ff
thumbsup_tone1 1f44d-1f3fb
thumbsup_tone2 1f44d-1f3fc
thumbsup_tone3 1f44d-1f3fd
thumbsup_tone4 1f44d-1f3fe
thumbsup_tone5 1f44d-1f3ff
thumbsdown_tone1 1f44e-1f3fb
thumbsdown_tone2 1f44e-1f3fc
thumbsdown_tone3 1f44e-1f3fd
thumbsdown_tone4 1f44e-1f3fe
thumbsdown_tone5 1f44e-1f3ff
punch_tone1 1f44a-1f3fb
punch_tone2 1f44a-1f3fc
punch_tone3 1f44a-1f3fd
punch_tone4 1f44a-1f3fe
punch_tone5 1f44a-1f3ff
fist_tone1 270a-1f3fb
fist_tone2 270a-1f3fc
fist_tone3 270a-1f3fd
fist_tone4 270a-1f3fe
fist_tone5 270a-1f3ff
v_tone1 270c-1f3fb
v_tone2 270c-1f3fc
v_tone3 270c-1f3fd
v_tone4 270c-1f3fe
v_tone5 270c-1f3ff
ok_hand_tone1 1f44c-1f3fb
ok_hand_tone2 1f44c-1f3fc
ok_hand_tone3 1f44c-1f3fd
ok_hand_tone4 1f44c-1f3fe
ok_hand_tone5 1f44c-1f3ff
raised_hand_tone1 270b-1f3fb
raised_hand_tone2 270b-1f3fc
raised_hand_tone3 270b-1f3fd
raised_hand_tone4 270b-1f3fe
raised_hand_tone5 270b-1f3ff
open_hands_tone1 1f450-1f3fb
open_hands_tone2 1f450-1f3fc
open_hands_tone3 1f450-1f3fd
open_hands_tone4 1f450-1f3fe
open_hands_tone5 1f450-1f3ff
muscle_tone1 1f4aa-1f3fb
muscle_tone2 1f4aa-1f3fc
muscle_tone3 1f4aa-1f3fd
muscle_tone4 1f4aa-1f3fe
muscle_tone5 1f4aa-1f3ff
pray_tone1 1f64f-1f3fb
pray_tone2 1f64f-1f3fc
pray_tone3 1f64f-1f3fd
pray_tone4 1f64f-1f3fe
pray_tone5 1f64f-1f3ff
point_up_tone1 261d-1f3fb
point_up_tone2 261d-1f3fc
point_up_tone3 261d-1f3fd
point_up_tone4 261d-1f3fe
point_up_tone5 261d-1f3ff
point_up_2_tone1 1f446-1f3fb
point_up_2_tone2 1f446-1f3fc
point_up_2_tone3 1f446-1f3fd
point_up_2_tone4 1f446-1f3fe
point_up_2_tone5 1f446-1f3ff
point_down_tone1 1f447-1f3fb
point_down_tone2 1f447-1f3fc
point_down_tone3 1f447-1f3fd
point_down_tone4 1f447-1f3fe
point_down_tone5 1f447-1f3ff
point_left_tone1 1f448-1f3fb
point_left_tone2 1f448-1f3fc
point_left_tone3 1f448-1f3fd
point_left_tone4 1f448-1f3fe
point_left_tone5 1f448-1f3ff
point_right_tone1 1f449-1f3fb
point_right_tone2 1f449-1f3fc
point_right_tone3 1f449-1f3fd
point_right_tone4 1f449-1f3fe
point_right_tone5 1f449-1f3ff
middle_finger_tone1 1f595-1f3fb
middle_finger_tone2 1f595-1f3fc
middle_finger_tone3 1f595-1f3fd
middle_finger_tone4 1f595-1f3fe
middle_finger_tone5 1f595-1f3ff
hand_splayed_tone1 1f590-1f3fb
hand_splayed_tone2 1f590-1f3fc
hand_splayed_tone3 1f590-1f3fd
hand_splayed_tone4 1f590-1f3fe
hand_splayed_tone5 1f590-1f3ff
metal_tone1 1f918-1f3fb
metal_tone2 1f918-1f3fc
metal_tone3 1f918-1f3fd
metal_tone4 1f918-1f3fe
metal_tone5 1f918-1f3ff
vulcan_tone1 1f596-1f3fb
vulcan_tone2 1f596-1f3fc
vulcan_tone3 1f596-1f3fd
vulcan_tone4 1f596-1f3fe
vulcan_tone5 1f596-1f3ff
writing_hand_tone1 270d-1f3fb
writing_hand_tone2 270d-1f3fc
writing_hand_tone3 270d-1f3fd
writing_hand_tone4 270d-1f3fe
writing_hand_tone5 270d-1f3ff
nail_care_tone1 1f485-1f3fb
nail_care_tone2 1f485-1f3fc
nail_care_tone3 1f485-1f3fd
nail_care_tone4 1f485-1f3fe
nail_care_tone5 1f485-1f3ff
ear_tone1 1f442-1f3fb
ear_tone2 1f442-1f3fc
ear_tone3 1f442-1f3fd
ear_tone4 1f442-1f3fe
ear_tone5 1f442-1f3ff
nose_tone1 1f443-1f3fb
nose_tone2 1f443-1f3fc
nose_tone3 1f443-1f3fd
nose_tone4 1f443-1f3fe
nose_tone5 1f443-1f3ff
baby_tone1 1f476-1f3fb
baby_tone2 1f476-1f3fc
baby_tone3 1f476-1f3fd
baby_tone4 1f476-1f3fe
baby_tone5 1f476-1f3ff
boy_tone1 1f466-1f3fb
boy_tone2 1f466-1f3fc
boy_tone3 1f466-1f3fd
boy_tone4 1f466-1f3fe
boy_tone5 1f466-1f3ff
girl_tone1 1f467-1f3fb
girl_tone2 1f467-1f3fc
girl_tone3 1f467-1f3fd
girl_tone4 1f467-1f3fe
girl_tone5 1f467-1f3ff
man_tone1 1f468-1f3fb
man_tone2 1f468-1f3fc
man_tone3 1f468-1f3fd
man_tone4 1f468-1f3fe
man_tone5 1f468-1f3ff
woman_tone1 1f469-1f3fb
woman_tone2 1f469-1f3fc
woman_tone3 1f469-1f3fd
woman_tone4 1f469-1f3fe
woman_tone5 1f469-1f3ff
person_with_blond_hair_tone1 1f471-1f3fb
person_with_blond_hair_tone2 1f471-1f3fc
person_with_blond_hair_tone3 1f471-1f3fd
person_with_blond_hair_tone4 1f471-1f3fe
person_with_blond_hair_tone5 1f471-1f3ff
older_man_tone1 1f474-1f3fb
older_man_tone2 1f474-1f3fc
older_man_tone3 1f474-1f3fd
older_man_tone4 1f474-1f3fe
older_man_tone5 1f474-1f3ff
older_woman_tone1 1f475-1f3fb
older_woman_tone2 1f475-1f3fc
older_woman_tone3 1f475-1f3fd
older_woman_tone4 1f475-1f3fe
older_woman_tone5 1f475-1f3ff
man_with_gua_pi_mao_tone1 1f472-1f3fb
man_with_gua_pi_mao_tone2 1f472-1f3fc
man_with_gua_pi_mao_tone3 1f472-1f3fd
man_with_gua_pi_mao_tone4 1f472-1f3fe
man_with_gua_pi_mao_tone5 1f472-1f3ff
man_with_turban_tone1 1f473-1f3fb
man_with_turban_tone2 1f473-1f3fc
man_with_turban_tone3 1f473-1f3fd
man_with_turban_tone4 1f473-1f3fe
man_with_turban_tone5 1f473-1f3ff
cop_tone1 1f46e-1f3fb
cop_tone2 1f46e-1f3fc
cop_tone3 1f46e-1f3fd
cop_tone4 1f46e-1f3fe
cop_tone5 1f46e-1f3ff
construction_worker_tone1 1f477-1f3fb
construction_worker_tone2 1f477-1f3fc
construction_worker_tone3 1f477-1f3fd
construction_worker_tone4 1f477-1f3fe
construction_worker_tone5 1f477-1f3ff
guardsman_tone1 1f482-1f3fb
guardsman_tone2 1f482-1f3fc
guardsman_tone3 1f482-1f3fd
guardsman_tone4 1f482-1f3fe
guardsman_tone5 1f482-1f3ff
santa_tone1 1f385-1f3fb
santa_tone2 1f385-1f3fc
santa_tone3 1f385-1f3fd
santa_tone4 1f385-1f3fe
santa_tone5 1f385-1f3ff
angel_tone1 1f47c-1f3fb
angel_tone2 1f47c-1f3fc
angel_tone3 1f47c-1f3fd
angel_tone4 1f47c-1f3fe
angel_tone5 1f47c-1f3ff
princess_tone1 1f478-1f3fb
princess_tone2 1f478-1f3fc
princess_tone3 1f478-1f3fd
princess_tone4 1f478-1f3fe
princess_tone5 1f478-1f3ff
bride_with_veil_tone1 1f470-1f3fb
bride_with_veil_tone2 1f470-1f3fc
bride_with_veil_tone3 1f470-1f3fd
bride_with_veil_tone4 1f470-1f3fe
bride_with_veil_tone5 1f470-1f3ff
walking_tone1 1f6b6-1f3fb
walking_tone2 1f6b6-1f3fc
walking_tone3 1f6b6-1f3fd
walking_tone4 1f6b6-1f3fe
walking_tone5 1f6b6-1f3ff
runner_tone1 1f3c3-1f3fb
runner_tone2 1f3c3-1f3fc
runner_tone3 1f3c3-1f3fd
runner_tone4 1f3c3-1f3fe
runner_tone5 1f3c3-1f3ff
dancer_tone1 1f483-1f3fb
dancer_tone2 1f483-1f3fc
dancer_tone3 1f483-1f3fd
dancer_tone4 1f483-1f3fe
dancer_tone5 1f483-1f3ff
bow_tone1 1f647-1f3fb
bow_tone2 1f647-1f3fc
bow_tone3 1f647-1f3fd
bow_tone4 1f647-1f3fe
bow_tone5 1f647-1f3ff
information_desk_person_tone1 1f481-1f3fb
information_desk_person_tone2 1f481-1f3fc
information_desk_person_tone3 1f481-1f3fd
information_desk_person_tone4 1f481-1f3fe
information_desk_person_tone5 1f481-1f3ff
no_good_tone1 1f645-1f3fb
no_good_tone2 1f645-1f3fc
no_good_tone3 1f645-1f3fd
no_good_tone4 1f645-1f3fe
no_good_tone5 1f645-1f3ff
ok_woman_tone1 1f646-1f3fb
ok_woman_tone2 1f646-1f3fc
ok_woman_tone3 1f646-1f3fd
ok_woman_tone4 1f646-1f3fe
ok_woman_tone5 1f646-1f3ff
raising_hand_tone1 1f64b-1f3fb
raising_hand_tone2 1f64b-1f3fc
raising_hand_tone3 1f64b-1f3fd
raising_hand_tone4 1f64b-1f3fe
raising_hand_tone5 1f64b-1f3ff
person_with_pouting_face_tone1 1f64e-1f3fb
person_with_pouting_face_tone2 1f64e-1f3fc
person_with_pouting_face_tone3 1f64e-1f3fd
person_with_pouting_face_tone4 1f64e-1f3fe
person_with_pouting_face_tone5 1f64e-1f3ff
person_frowning_tone1 1f64d-1f3fb
person_frowning_tone2 1f64d-1f3fc
person_frowning_tone3 1f64d-1f3fd
person_frowning_tone4 1f64d-1f3fe
person_frowning_tone5 1f64d-1f3ff
haircut_tone1 1f487-1f3fb
haircut_tone2 1f487-1f3fc
haircut_tone3 1f487-1f3fd
haircut_tone4 1f487-1f3fe
haircut_tone5 1f487-1f3ff
massage_tone1 1f486-1f3fb
massage_tone2 1f486-1f3fc
massage_tone3 1f486-1f3fd
massage_tone4 1f486-1f3fe
massage_tone5 1f486-1f3ff
rowboat_tone1 1f6a3-1f3fb
rowboat_tone2 1f6a3-1f3fc
rowboat_tone3 1f6a3-1f3fd
rowboat_tone4 1f6a3-1f3fe
rowboat_tone5 1f6a3-1f3ff
swimmer_tone1 1f3ca-1f3fb
swimmer_tone2 1f3ca-1f3fc
swimmer_tone3 1f3ca-1f3fd
swimmer_tone4 1f3ca-1f3fe
swimmer_tone5 1f3ca-1f3ff
surfer_tone1 1f3c4-1f3fb
surfer_tone2 1f3c4-1f3fc
surfer_tone3 1f3c4-1f3fd
surfer_tone4 1f3c4-1f3fe
surfer_tone5 1f3c4-1f3ff
bath_tone1 1f6c0-1f3fb
bath_tone2 1f6c0-1f3fc
bath_tone3 1f6c0-1f3fd
bath_tone4 1f6c0-1f3fe
bath_tone5 1f6c0-1f3ff
basketball_player_tone1 26f9-1f3fb
basketball_player_tone2 26f9-1f3fc
basketball_player_tone3 26f9-1f3fd
basketball_player_tone4 26f9-1f3fe
basketball_player_tone5 26f9-1f3ff
lifter_tone1 1f3cb-1f3fb
lifter_tone2 1f3cb-1f3fc
lifter_tone3 1f3cb-1f3fd
lifter_tone4 1f3cb-1f3fe
lifter_tone5 1f3cb-1f3ff
bicyclist_tone1 1f6b4-1f3fb
bicyclist_tone2 1f6b4-1f3fc
bicyclist_tone3 1f6b4-1f3fd
bicyclist_tone4 1f6b4-1f3fe
bicyclist_tone5 1f6b4-1f3ff
mountain_bicyclist_tone1 1f6b5-1f3fb
mountain_bicyclist_tone2 1f6b5-1f3fc
mountain_bicyclist_tone3 1f6b5-1f3fd
mountain_bicyclist_tone4 1f6b5-1f3fe
mountain_bicyclist_tone5 1f6b5-1f3ff
horse_racing_tone1 1f3c7-1f3fb
horse_racing_tone2 1f3c7-1f3fc
horse_racing_tone3 1f3c7-1f3fd
horse_racing_tone4 1f3c7-1f3fe
horse_racing_tone5 1f3c7-1f3ff
spy_tone1 1f575-1f3fb
spy_tone2 1f575-1f3fc
spy_tone3 1f575-1f3fd
spy_tone4 1f575-1f3fe
spy_tone5 1f575-1f3ff
tone1 1f3fb
tone2 1f3fc
tone3 1f3fd
tone4 1f3fe
tone5 1f3ff
prince_tone1 1f934-1f3fb
prince_tone2 1f934-1f3fc
prince_tone3 1f934-1f3fd
prince_tone4 1f934-1f3fe
prince_tone5 1f934-1f3ff
mrs_claus_tone1 1f936-1f3fb
mrs_claus_tone2 1f936-1f3fc
mrs_claus_tone3 1f936-1f3fd
mrs_claus_tone4 1f936-1f3fe
mrs_claus_tone5 1f936-1f3ff
man_in_tuxedo_tone1 1f935-1f3fb
man_in_tuxedo_tone2 1f935-1f3fc
man_in_tuxedo_tone3 1f935-1f3fd
man_in_tuxedo_tone4 1f935-1f3fe
man_in_tuxedo_tone5 1f935-1f3ff
shrug_tone1 1f937-1f3fb
shrug_tone2 1f937-1f3fc
shrug_tone3 1f937-1f3fd
shrug_tone4 1f937-1f3fe
shrug_tone5 1f937-1f3ff
face_palm_tone1 1f926-1f3fb
face_palm_tone2 1f926-1f3fc
face_palm_tone3 1f926-1f3fd
face_palm_tone4 1f926-1f3fe
face_palm_tone5 1f926-1f3ff
pregnant_woman_tone1 1f930-1f3fb
pregnant_woman_tone2 1f930-1f3fc
pregnant_woman_tone3 1f930-1f3fd
pregnant_woman_tone4 1f930-1f3fe
pregnant_woman_tone5 1f930-1f3ff
man_dancing_tone1 1f57a-1f3fb
man_dancing_tone2 1f57a-1f3fc
man_dancing_tone3 1f57a-1f3fd
man_dancing_tone4 1f57a-1f3fe
man_dancing_tone5 1f57a-1f3ff
selfie_tone1 1f933-1f3fb
selfie_tone2 1f933-1f3fc
selfie_tone3 1f933-1f3fd
selfie_tone4 1f933-1f3fe
selfie_tone5 1f933-1f3ff
fingers_crossed_tone1 1f91e-1f3fb
fingers_crossed_tone2 1f91e-1f3fc
fingers_crossed_tone3 1f91e-1f3fd
fingers_crossed_tone4 1f91e-1f3fe
fingers_crossed_tone5 1f91e-1f3ff
call_me_tone1 1f919-1f3fb
call_me_tone2 1f919-1f3fc
call_me_tone3 1f919-1f3fd
call_me_tone4 1f919-1f3fe
call_me_tone5 1f919-1f3ff
left_facing_fist_tone1 1f91b-1f3fb
left_facing_fist_tone2 1f91b-1f3fc
left_facing_fist_tone3 1f91b-1f3fd
left_facing_fist_tone4 1f91b-1f3fe
left_facing_fist_tone5 1f91b-1f3ff
right_facing_fist_tone1 1f91c-1f3fb
right_facing_fist_tone2 1f91c-1f3fc
right_facing_fist_tone3 1f91c-1f3fd
right_facing_fist_tone4 1f91c-1f3fe
right_facing_fist_tone5 1f91c-1f3ff
raised_back_of_hand_tone1 1f91a-1f3fb
raised_back_of_hand_tone2 1f91a-1f3fc
raised_back_of_hand_tone3 1f91a-1f3fd
raised_back_of_hand_tone4 1f91a-1f3fe
raised_back_of_hand_tone5 1f91a-1f3ff
handshake_tone1 1f91d-1f3fb
handshake_tone2 1f91d-1f3fc
handshake_tone3 1f91d-1f3fd
handshake_tone4 1f91d-1f3fe
handshake_tone5 1f91d-1f3ff
cartwheel_tone1 1f938-1f3fb
cartwheel_tone2 1f938-1f3fc
cartwheel_tone3 1f938-1f3fd
cartwheel_tone4 1f938-1f3fe
cartwheel_tone5 1f938-1f3ff
wrestlers_tone1 1f93c-1f3fb
wrestlers_tone2 1f93c-1f3fc
wrestlers_tone3 1f93c-1f3fd
wrestlers_tone4 1f93c-1f3fe
wrestlers_tone5 1f93c-1f3ff
water_polo_tone1 1f93d-1f3fb
water_polo_tone2 1f93d-1f3fc
water_polo_tone3 1f93d-1f3fd
water_polo_tone4 1f93d-1f3fe
water_polo_tone5 1f93d-1f3ff
handball_tone1 1f93e-1f3fb
handball_tone2 1f93e-1f3fc
handball_tone3 1f93e-1f3fd
handball_tone4 1f93e-1f3fe
handball_tone5 1f93e-1f3ff
juggling_tone1 1f939-1f3fb
juggling_tone2 1f939-1f3fc
juggling_tone3 1f939-1f3fd
juggling_tone4 1f939-1f3fe
juggling_tone5 1f939-1f3ff
speech_left 1f5e8
eject 23cf
gay_pride_flag 1f3f3-1f308
cowboy 1f920
clown 1f921
nauseated_face 1f922
rofl 1f923
drooling_face 1f924
lying_face 1f925
sneezing_face 1f927
prince 1f934
man_in_tuxedo 1f935
mrs_claus 1f936
face_palm 1f926
shrug 1f937
pregnant_woman 1f930
selfie 1f933
man_dancing 1f57a
call_me 1f919
raised_back_of_hand 1f91a
left_facing_fist 1f91b
right_facing_fist 1f91c
handshake 1f91d
fingers_crossed 1f91e
black_heart 1f5a4
eagle 1f985
duck 1f986
bat 1f987
shark 1f988
owl 1f989
fox 1f98a
butterfly 1f98b
deer 1f98c
gorilla 1f98d
lizard 1f98e
rhino 1f98f
wilted_rose 1f940
croissant 1f950
avocado 1f951
cucumber 1f952
bacon 1f953
potato 1f954
carrot 1f955
french_bread 1f956
salad 1f957
shallow_pan_of_food 1f958
stuffed_flatbread 1f959
champagne_glass 1f942
tumbler_glass 1f943
spoon 1f944
octagonal_sign 1f6d1
shopping_cart 1f6d2
scooter 1f6f4
motor_scooter 1f6f5
canoe 1f6f6
cartwheel 1f938
juggling 1f939
wrestlers 1f93c
boxing_glove 1f94a
martial_arts_uniform 1f94b
water_polo 1f93d
handball 1f93e
goal 1f945
fencer 1f93a
first_place 1f947
second_place 1f948
third_place 1f949
drum 1f941
shrimp 1f990
squid 1f991
egg 1f95a
milk 1f95b
peanuts 1f95c
kiwi 1f95d
pancakes 1f95e
regional_indicator_z 1f1ff
regional_indicator_y 1f1fe
regional_indicator_x 1f1fd
regional_indicator_w 1f1fc
regional_indicator_v 1f1fb
regional_indicator_u 1f1fa
regional_indicator_t 1f1f9
regional_indicator_s 1f1f8
regional_indicator_r 1f1f7
regional_indicator_q 1f1f6
regional_indicator_p 1f1f5
regional_indicator_o 1f1f4
regional_indicator_n 1f1f3
regional_indicator_m 1f1f2
regional_indicator_l 1f1f1
regional_indicator_k 1f1f0
regional_indicator_j 1f1ef
regional_indicator_i 1f1ee
regional_indicator_h 1f1ed
regional_indicator_g 1f1ec
regional_indicator_f 1f1eb
regional_indicator_e 1f1ea
regional_indicator_d 1f1e9
regional_indicator_c 1f1e8
regional_indicator_b 1f1e7
regional_indicator_a 1f1e6
